Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,transistor_density,gflops_per_watt,process_generation
24,AMD Athlon 64 3500+,CPU,2001-01-01,90.0,67.0,115.0,105.0,2200.0,Unknown,AMD,17676.725362157074,9387.952005505791,535.2012972163076,0.9130434782608695,140.11868664934016,0
25,Intel Pentium 4 HT 672,CPU,2005-11-14,90.0,84.0,109.0,169.0,3800.0,Intel,Intel,15514.058545810563,7965.624150271315,491.2706678081157,1.5504587155963303,94.82885893180136,0
26,Intel Pentium D 830,CPU,2005-05-26,90.0,130.0,206.0,169.0,3000.0,Intel,Intel,17233.07171285896,9233.652725278409,519.227112676421,0.8203883495145631,71.028097886757,0
27,AMD EPYC 7371,CPU,2018-11-16,14.0,170.0,213.0,4800.0,3100.0,GF,AMD,8440.802536296795,5724.30534168828,272.76437254515605,22.535211267605632,33.672384362872236,3
28,Intel Pentium 4 HT 550,CPU,2004-06-21,90.0,115.0,109.0,125.0,3400.0,Intel,Intel,17021.129489440395,8510.465405612373,531.8926810037391,1.146788990825688,74.00404700532498,0
29,Intel Pentium III 1266S,CPU,2001-07-01,130.0,30.0,80.0,44.0,1266.0,Intel,Intel,9296.78560523754,4608.705163136923,76.08999548593611,0.55,153.62350543789745,0
30,AMD Sempron 140,CPU,2009-07-22,45.0,45.0,117.0,234.0,2700.0,Unknown,AMD,17418.84440670929,9296.58869041028,525.9683329377226,2.0,206.59085978689512,1
31,AMD EPYC 7501,CPU,2017-06-29,14.0,170.0,213.0,4800.0,2000.0,GF,AMD,14599.744823288753,7521.95508311499,417.76251483870544,22.535211267605632,44.246794606558765,3
32,Intel Atom E680,CPU,2010-09-14,45.0,4.0,26.0,47.0,1600.0,Intel,Intel,12999.629828798168,8060.288050976132,357.4668740222094,1.8076923076923077,2015.072012744033,1
33,Intel Xeon E5-2690 v2,CPU,2013-09-01,22.0,130.0,160.0,1400.0,3000.0,Intel,Intel,6325.510109077592,3919.100883728645,221.1148577967817,8.75,30.14692987483573,2
